iter	Logloss
0	0.6669504991
1	0.6478866495
2	0.6249022755
3	0.6077309449
4	0.5891601905
5	0.5713238359
6	0.5552371297
7	0.5410754791
8	0.5293387939
9	0.5167319886
10	0.506078575
11	0.4955147671
12	0.4864936704
13	0.476904631
14	0.4687654731
15	0.4609324185
16	0.4543702479
17	0.446495869
18	0.4393741567
19	0.4330396616
20	0.4267952908
21	0.4211773964
22	0.4163707529
23	0.4116542236
24	0.4072887225
25	0.4032998191
26	0.399846627
27	0.396664418
28	0.3929596793
29	0.3898595597
30	0.3866542933
31	0.3838747603
32	0.3812815683
33	0.3789323049
34	0.3764712125
35	0.3745821516
36	0.3728498649
37	0.3707833931
38	0.3691261168
39	0.3674117919
40	0.3652700453
41	0.3633236816
42	0.3620915589
43	0.3608996113
44	0.3590475114
45	0.3574826479
46	0.3559851869
47	0.3547578241
48	0.3538437962
49	0.3528445362
50	0.3518652416
51	0.351273326
52	0.350282813
53	0.3491877024
54	0.3483597711
55	0.3476765107
56	0.3467910833
57	0.3460492588
58	0.3452087411
59	0.3445440527
60	0.3440165747
61	0.3434038596
62	0.3427165206
63	0.3419893778
64	0.3411750756
65	0.3405382859
66	0.3399356298
67	0.33927413
68	0.3386940838
69	0.3382317759
70	0.3377218428
71	0.3372910239
72	0.3367818282
73	0.3362902891
74	0.3356257584
75	0.3352398339
76	0.3345913274
77	0.3339769341
78	0.333318989
79	0.3328322557
80	0.3323352447
81	0.3317579192
82	0.3312750864
83	0.33076585
84	0.3303096853
85	0.329907823
86	0.3295747262
87	0.3290543729
88	0.3287629819
89	0.3284025711
90	0.3279049142
91	0.3274456118
92	0.3271476961
93	0.3266313044
94	0.326183607
95	0.3259266902
96	0.3257821821
97	0.3253863054
98	0.3250590466
99	0.3246693843
100	0.3243859927
101	0.3241832511
102	0.3240026923
103	0.3237707399
104	0.3235658675
105	0.3233717306
106	0.3229971466
107	0.3227662063
108	0.3225238389
109	0.3222511368
110	0.3218850049
111	0.3216626793
112	0.3214629127
113	0.3211957131
114	0.3208506604
115	0.3205024394
116	0.320279829
117	0.3200740158
118	0.3198391088
119	0.3196343941
120	0.3192554316
121	0.3189720908
122	0.3187868584
123	0.3185266717
124	0.3182647762
125	0.3180328747
126	0.3178444944
127	0.3175838448
128	0.3173369921
129	0.3171525633
130	0.3169733673
131	0.3167046217
132	0.3164181432
133	0.3161100261
134	0.3158992698
135	0.3156373388
136	0.315298414
137	0.3149512508
138	0.3146822306
139	0.3144942826
140	0.3143621576
141	0.31418792
142	0.3139955832
143	0.3137470065
144	0.313557243
145	0.3134499706
146	0.3132456983
147	0.313094691
148	0.3129990236
149	0.3128526339
150	0.3125514177
151	0.3122993168
152	0.3120883063
153	0.3119235784
154	0.31171477
155	0.3115340891
156	0.3113055541
157	0.3111367376
158	0.3109163699
159	0.3107861315
160	0.3105880127
161	0.3104034617
162	0.31020458
163	0.3101555004
164	0.3100975619
165	0.3100402235
166	0.3098859971
167	0.3096816333
168	0.3094899017
169	0.3092269077
170	0.3091661672
171	0.3090597287
172	0.3087850332
173	0.3085407028
174	0.3083529735
175	0.3081368979
176	0.3080198156
177	0.3077901466
178	0.3076063331
179	0.3074575787
180	0.3073303764
181	0.3071441422
182	0.3069813061
183	0.3068530613
184	0.3067421172
185	0.3065278265
186	0.3062943129
187	0.3061173953
188	0.3059325342
189	0.3057688082
190	0.3056399175
191	0.3054739488
192	0.3054062767
193	0.3051963189
194	0.3050923978
195	0.3049856746
196	0.3047371538
197	0.3046072308
198	0.3044382617
199	0.3043222118
200	0.3042542855
201	0.3040772152
202	0.3039886267
203	0.3037854987
204	0.3036049195
205	0.3033957144
206	0.30321691
207	0.303122102
208	0.3029929367
209	0.3028859134
210	0.3027882576
211	0.3026659017
212	0.3025027453
213	0.3022778057
214	0.3021836182
215	0.3020153865
216	0.3018439153
217	0.3016786637
218	0.3015666567
219	0.3014513187
220	0.3012688071
221	0.3010565862
222	0.3009016174
223	0.3007880695
224	0.3006167408
225	0.3003617055
226	0.3002458997
227	0.3000815787
228	0.2999410475
229	0.2997734362
230	0.2995346388
231	0.299409018
232	0.2992826498
233	0.2992147844
234	0.2990477224
235	0.2988996087
236	0.298725844
237	0.2985426204
238	0.2984569154
239	0.2982430825
240	0.2981062839
241	0.2979787714
242	0.29781294
243	0.2976417486
244	0.2974551737
245	0.2973633203
246	0.2973014863
247	0.2971962888
248	0.2970953935
249	0.2969233273
250	0.2967224216
251	0.296570443
252	0.296542885
253	0.2964022469
254	0.2963004718
255	0.2961477304
256	0.2959795139
257	0.2958671662
258	0.2957898318
259	0.2957091512
260	0.2956016092
261	0.295394662
262	0.2952386811
263	0.2951222752
264	0.295022397
265	0.2949084525
266	0.2947210893
267	0.2945779797
268	0.2944885013
269	0.2943306286
270	0.2941625647
271	0.2940266765
272	0.2938320106
