iter	Passed	Remaining
0	182	182231
1	193	96372
2	203	67780
3	214	53463
4	225	44895
5	237	39272
6	247	35161
7	258	32106
8	270	29744
9	281	27840
10	291	26243
11	302	24934
12	313	23812
13	324	22875
14	337	22132
15	348	21425
16	361	20927
17	374	20447
18	386	19943
19	400	19618
20	415	19379
21	431	19191
22	446	18973
23	460	18717
24	477	18639
25	504	18898
26	519	18704
27	537	18660
28	554	18558
29	565	18291
30	580	18156
31	593	17962
32	606	17773
33	618	17579
34	630	17372
35	644	17256
36	658	17136
37	672	17017
38	683	16853
39	695	16690
40	706	16536
41	718	16390
42	729	16233
43	740	16085
44	751	15948
45	762	15821
46	773	15693
47	785	15580
48	797	15479
49	809	15377
50	820	15268
51	831	15153
52	842	15046
53	854	14968
54	867	14909
55	879	14818
56	890	14738
57	905	14708
58	917	14625
59	928	14547
60	939	14463
61	950	14383
62	962	14311
63	973	14233
64	984	14163
65	995	14093
66	1006	14020
67	1018	13957
68	1038	14008
69	1058	14056
70	1072	14037
71	1088	14029
72	1111	14115
73	1127	14114
74	1141	14084
75	1156	14060
76	1170	14032
77	1181	13969
78	1192	13907
79	1203	13843
80	1215	13790
81	1226	13730
82	1238	13684
83	1249	13628
84	1260	13573
85	1271	13513
86	1283	13473
87	1300	13475
88	1311	13425
89	1323	13380
90	1335	13344
91	1348	13313
92	1360	13272
93	1373	13239
94	1385	13200
95	1399	13176
96	1408	13111
97	1419	13064
98	1430	13018
99	1442	12980
100	1454	12948
101	1465	12901
102	1475	12853
103	1486	12807
104	1497	12760
105	1507	12717
106	1518	12676
107	1529	12633
108	1541	12596
109	1552	12557
110	1563	12521
111	1576	12497
112	1587	12457
113	1597	12418
114	1608	12380
115	1621	12358
116	1633	12325
117	1641	12267
118	1652	12232
119	1662	12195
120	1673	12160
121	1685	12127
122	1695	12091
123	1708	12069
124	1720	12046
125	1731	12011
126	1742	11974
127	1752	11941
128	1763	11908
129	1774	11875
130	1785	11844
131	1796	11815
132	1812	11814
133	1832	11842
134	1851	11863
135	1867	11866
136	1883	11863
137	1897	11854
138	1914	11856
139	1927	11840
140	1940	11824
141	1951	11793
142	1962	11764
143	1973	11734
144	1985	11704
145	1995	11671
146	2007	11649
147	2018	11620
148	2029	11589
149	2042	11576
150	2054	11549
151	2065	11523
152	2076	11495
153	2087	11466
154	2097	11437
155	2109	11413
156	2124	11405
157	2136	11383
158	2147	11358
159	2158	11331
160	2169	11305
161	2180	11280
162	2191	11253
163	2200	11217
164	2209	11179
165	2219	11152
166	2230	11126
167	2241	11101
168	2252	11077
169	2265	11062
170	2275	11030
171	2285	11004
172	2297	10981
173	2308	10957
174	2319	10936
175	2333	10923
176	2344	10899
177	2355	10876
178	2367	10856
179	2378	10833
180	2388	10809
181	2399	10785
182	2410	10763
183	2421	10739
184	2432	10715
185	2443	10694
186	2455	10676
187	2469	10668
188	2483	10656
189	2494	10634
190	2505	10611
191	2519	10601
192	2531	10584
193	2542	10563
194	2553	10541
195	2565	10525
196	2577	10504
197	2588	10483
198	2599	10462
199	2610	10440
200	2617	10404
201	2628	10383
202	2638	10359
203	2649	10338
204	2664	10332
205	2675	10313
206	2688	10299
207	2699	10277
208	2710	10256
209	2720	10235
210	2731	10215
211	2742	10193
212	2754	10175
213	2765	10156
214	2775	10135
215	2787	10116
216	2800	10104
217	2812	10089
218	2824	10072
219	2837	10059
220	2848	10040
221	2859	10021
222	2872	10008
223	2886	9999
224	2900	9989
225	2914	9981
226	2927	9968
227	2938	9949
228	2949	9929
229	2960	9910
230	2971	9892
231	2982	9873
232	2993	9854
233	3004	9835
234	3015	9817
235	3026	9798
236	3037	9780
237	3049	9762
238	3062	9750
239	3073	9732
240	3084	9713
241	3095	9694
242	3106	9677
243	3117	9659
244	3129	9643
245	3139	9623
246	3150	9604
247	3163	9591
248	3174	9575
249	3185	9557
250	3197	9541
251	3208	9524
252	3217	9499
253	3228	9481
254	3239	9463
255	3250	9445
256	3261	9430
257	3272	9412
258	3283	9394
259	3297	9384
260	3309	9370
261	3323	9362
262	3338	9355
263	3349	9337
264	3360	9320
265	3371	9302
266	3382	9286
267	3394	9270
268	3404	9252
269	3416	9236
270	3427	9218
271	3438	9204
272	3452	9194
273	3463	9176
274	3474	9159
275	3485	9143
276	3496	9125
277	3507	9109
278	3518	9092
279	3529	9075
280	3539	9057
281	3550	9040
282	3562	9025
283	3573	9009
284	3584	8993
285	3595	8977
286	3606	8960
287	3617	8943
288	3628	8927
289	3639	8910
290	3650	8894
291	3661	8878
292	3672	8861
293	3685	8849
294	3696	8833
295	3707	8817
296	3721	8809
297	3732	8793
298	3743	8777
299	3754	8760
300	3765	8744
301	3777	8731
302	3790	8719
303	3801	8703
304	3813	8690
305	3824	8674
306	3835	8658
307	3846	8642
308	3857	8626
309	3869	8613
310	3880	8597
311	3892	8582
312	3902	8565
313	3914	8553
314	3926	8537
315	3937	8523
316	3948	8507
317	3959	8492
318	3971	8477
319	3982	8463
320	3993	8447
321	4008	8440
322	4024	8435
323	4044	8438
324	4058	8428
325	4072	8420
326	4086	8410
327	4101	8403
328	4115	8394
329	4133	8393
330	4146	8381
331	4158	8366
332	4169	8351
333	4180	8336
334	4191	8321
335	4202	8305
336	4215	8292
337	4227	8280
338	4239	8267
339	4252	8254
340	4263	8239
341	4277	8228
342	4289	8216
343	4301	8203
344	4312	8187
345	4323	8172
346	4335	8158
347	4345	8142
348	4359	8132
349	4371	8117
350	4381	8102
351	4392	8086
352	4403	8071
353	4414	8055
354	4425	8040
355	4435	8024
356	4446	8008
357	4457	7993
358	4468	7977
359	4479	7962
360	4489	7947
361	4500	7932
362	4511	7917
363	4522	7901
364	4536	7892
365	4548	7879
366	4559	7863
367	4570	7849
368	4581	7834
369	4592	7819
370	4603	7805
371	4614	7790
372	4625	7775
373	4636	7760
374	4647	7745
375	4660	7733
376	4672	7721
377	4683	7707
378	4694	7691
379	4704	7675
380	4717	7664
381	4728	7650
382	4739	7635
383	4750	7620
384	4764	7610
385	4775	7596
386	4786	7581
387	4797	7567
388	4809	7553
389	4819	7538
390	4830	7523
391	4841	7508
392	4852	7494
393	4863	7479
394	4873	7465
395	4884	7450
396	4895	7435
397	4906	7421
398	4917	7407
399	4929	7394
400	4947	7390
401	4958	7376
402	4969	7362
403	4980	7347
404	4991	7333
405	5002	7319
406	5013	7304
407	5024	7290
408	5035	7275
409	5045	7260
410	5056	7246
411	5068	7233
412	5081	7222
413	5092	7208
414	5102	7192
415	5113	7178
416	5124	7163
417	5135	7149
418	5145	7135
419	5156	7121
420	5167	7106
421	5177	7092
422	5189	7078
423	5199	7063
424	5210	7050
425	5222	7036
426	5233	7023
427	5246	7011
428	5259	7000
429	5271	6987
430	5283	6975
431	5295	6962
432	5306	6948
433	5317	6934
434	5331	6924
435	5342	6911
436	5353	6896
437	5364	6882
438	5374	6868
439	5386	6854
440	5396	6841
441	5407	6826
442	5418	6813
443	5429	6799
444	5440	6785
445	5450	6770
446	5461	6756
447	5473	6744
448	5484	6730
449	5494	6715
450	5505	6701
451	5516	6688
452	5527	6674
453	5538	6660
454	5549	6647
455	5560	6634
456	5571	6620
457	5582	6606
458	5593	6592
459	5604	6578
460	5614	6564
461	5625	6550
462	5635	6536
463	5646	6522
464	5657	6509
465	5668	6495
466	5679	6481
467	5690	6468
468	5701	6454
469	5711	6441
470	5724	6429
471	5737	6417
472	5750	6407
473	5763	6395
474	5774	6382
475	5786	6369
476	5797	6356
477	5819	6355
478	5830	6341
479	5841	6328
480	5852	6314
481	5863	6301
482	5874	6288
483	5887	6276
484	5898	6263
485	5909	6249
486	5920	6236
487	5930	6222
488	5941	6208
489	5952	6195
490	5962	6181
491	5974	6168
492	5985	6155
493	5996	6142
494	6007	6128
495	6018	6115
496	6029	6102
497	6040	6088
498	6051	6075
499	6063	6063
500	6074	6050
501	6085	6036
502	6096	6023
503	6107	6010
504	6118	5997
505	6133	5987
506	6147	5977
507	6158	5964
508	6169	5951
509	6180	5938
510	6191	5925
511	6202	5912
512	6216	5901
513	6231	5892
514	6254	5890
515	6270	5881
516	6287	5873
517	6302	5864
518	6317	5854
519	6333	5845
520	6346	5835
521	6360	5824
522	6371	5810
523	6382	5797
524	6393	5784
525	6404	5770
526	6414	5757
527	6425	5744
528	6436	5731
529	6447	5717
530	6462	5707
531	6475	5696
532	6486	5683
533	6497	5669
534	6507	5656
535	6518	5643
536	6529	5629
537	6539	5616
538	6555	5606
539	6566	5593
540	6577	5580
541	6587	5566
542	6598	5553
543	6609	5540
544	6620	5527
545	6630	5513
546	6641	5500
547	6652	5487
548	6663	5473
549	6673	5460
550	6687	5449
551	6697	5435
552	6708	5422
553	6722	5412
554	6734	5399
555	6746	5387
556	6756	5373
557	6767	5360
558	6778	5347
559	6789	5334
560	6802	5323
561	6814	5311
562	6825	5298
563	6837	5285
564	6847	5272
565	6858	5259
566	6869	5245
567	6880	5232
568	6890	5219
569	6901	5206
570	6912	5193
571	6923	5180
572	6933	5167
573	6947	5156
574	6958	5143
575	6969	5130
576	6980	5117
577	6991	5104
578	7002	5091
579	7013	5078
580	7024	5065
581	7035	5053
582	7046	5039
583	7057	5027
584	7068	5014
585	7081	5003
586	7093	4990
587	7103	4977
588	7114	4964
589	7125	4951
590	7136	4938
591	7147	4925
592	7157	4912
593	7170	4900
594	7181	4887
595	7192	4875
596	7206	4864
597	7217	4851
598	7228	4839
599	7240	4826
600	7251	4814
601	7262	4801
602	7273	4788
603	7284	4776
604	7295	4763
605	7306	4750
606	7319	4738
607	7333	4728
608	7345	4715
609	7355	4702
610	7367	4690
611	7377	4677
612	7388	4664
613	7399	4651
614	7410	4639
615	7421	4626
616	7432	4613
617	7443	4601
618	7454	4588
619	7465	4575
620	7478	4564
621	7489	4551
622	7501	4539
623	7512	4526
624	7523	4514
625	7534	4501
626	7544	4488
627	7555	4475
628	7566	4463
629	7578	4450
630	7589	4438
631	7600	4425
632	7611	4412
633	7622	4400
634	7633	4387
635	7644	4375
636	7656	4362
637	7666	4350
638	7677	4337
639	7691	4326
640	7702	4313
641	7714	4301
642	7727	4290
643	7743	4280
644	7753	4267
645	7766	4256
646	7777	4243
647	7788	4230
648	7799	4218
649	7810	4205
650	7820	4192
651	7831	4179
652	7843	4167
653	7854	4155
654	7864	4142
655	7875	4129
656	7887	4117
657	7898	4105
658	7913	4094
659	7925	4082
660	7936	4070
661	7946	4057
662	7957	4044
663	7968	4032
664	7978	4019
665	7989	4006
666	8000	3994
667	8011	3981
668	8022	3969
669	8032	3956
670	8043	3943
671	8055	3932
672	8066	3919
673	8077	3906
674	8087	3894
675	8098	3881
676	8109	3868
677	8120	3856
678	8130	3843
679	8141	3831
680	8156	3820
681	8167	3808
682	8180	3796
683	8194	3785
684	8207	3774
685	8219	3762
686	8230	3750
687	8242	3737
688	8256	3726
689	8267	3714
690	8278	3701
691	8288	3689
692	8300	3677
693	8311	3664
694	8322	3652
695	8332	3639
696	8343	3627
697	8355	3615
698	8366	3602
699	8377	3590
700	8388	3578
701	8400	3565
702	8411	3553
703	8422	3541
704	8438	3530
705	8458	3522
706	8474	3511
707	8487	3500
708	8502	3489
709	8517	3478
710	8531	3467
711	8545	3456
712	8563	3447
713	8595	3443
714	8606	3430
715	8617	3418
716	8630	3406
717	8641	3393
718	8652	3381
719	8667	3370
720	8683	3360
721	8696	3348
722	8711	3337
723	8725	3326
724	8739	3314
725	8752	3303
726	8765	3291
727	8778	3279
728	8790	3267
729	8803	3256
730	8816	3244
731	8829	3232
732	8842	3221
733	8856	3209
734	8870	3198
735	8884	3186
736	8898	3175
737	8911	3163
738	8924	3151
739	8937	3140
740	8950	3128
741	8965	3117
742	8977	3105
743	8988	3092
744	8999	3080
745	9010	3067
746	9021	3055
747	9032	3042
748	9043	3030
749	9054	3018
750	9064	3005
751	9075	2993
752	9087	2980
753	9099	2968
754	9110	2956
755	9121	2944
756	9132	2931
757	9143	2919
758	9154	2906
759	9168	2895
760	9180	2883
761	9190	2870
762	9201	2858
763	9213	2845
764	9224	2833
765	9235	2821
766	9247	2809
767	9259	2797
768	9270	2784
769	9280	2772
770	9291	2759
771	9302	2747
772	9313	2734
773	9323	2722
774	9334	2709
775	9344	2697
776	9359	2686
777	9370	2673
778	9382	2661
779	9394	2649
780	9405	2637
781	9416	2625
782	9427	2612
783	9439	2600
784	9449	2588
785	9460	2575
786	9471	2563
787	9482	2551
788	9492	2538
789	9505	2526
790	9516	2514
791	9527	2502
792	9538	2489
793	9549	2477
794	9561	2465
795	9572	2453
796	9582	2440
797	9593	2428
798	9604	2416
799	9614	2403
800	9625	2391
801	9636	2379
802	9647	2366
803	9661	2355
804	9672	2343
805	9685	2331
806	9695	2318
807	9705	2306
808	9716	2294
809	9727	2281
810	9737	2269
811	9751	2257
812	9762	2245
813	9773	2233
814	9784	2221
815	9796	2208
816	9807	2196
817	9817	2184
818	9828	2172
819	9840	2160
820	9852	2148
821	9863	2135
822	9877	2124
823	9891	2112
824	9903	2100
825	9914	2088
826	9926	2076
827	9937	2064
828	9948	2052
829	9959	2039
830	9970	2027
831	9980	2015
832	9992	2003
833	10003	1991
834	10014	1978
835	10025	1966
836	10036	1954
837	10047	1942
838	10058	1930
839	10070	1918
840	10081	1905
841	10092	1893
842	10103	1881
843	10114	1869
844	10125	1857
845	10136	1845
846	10156	1834
847	10167	1822
848	10179	1810
849	10190	1798
850	10201	1786
851	10212	1773
852	10223	1761
853	10234	1749
854	10245	1737
855	10256	1725
856	10267	1713
857	10280	1701
858	10292	1689
859	10303	1677
860	10314	1665
861	10325	1653
862	10336	1640
863	10347	1628
864	10358	1616
865	10369	1604
866	10380	1592
867	10391	1580
868	10403	1568
869	10413	1556
870	10425	1544
871	10436	1532
872	10448	1519
873	10459	1507
874	10470	1495
875	10482	1483
876	10492	1471
877	10503	1459
878	10515	1447
879	10526	1435
880	10536	1423
881	10551	1411
882	10562	1399
883	10574	1387
884	10585	1375
885	10596	1363
886	10608	1351
887	10619	1339
888	10630	1327
889	10649	1316
890	10671	1305
891	10687	1293
892	10704	1282
893	10723	1271
894	10740	1260
895	10756	1248
896	10772	1237
897	10788	1225
898	10801	1213
899	10815	1201
900	10828	1189
901	10842	1178
902	10855	1166
903	10869	1154
904	10884	1142
905	10898	1130
906	10911	1118
907	10924	1106
908	10938	1095
909	10953	1083
910	10969	1071
911	10982	1059
912	10996	1047
913	11010	1035
914	11023	1024
915	11037	1012
916	11050	1000
917	11064	988
918	11077	976
919	11097	965
920	11119	953
921	11141	942
922	11163	931
923	11186	920
924	11208	908
925	11230	897
926	11251	886
927	11272	874
928	11294	863
929	11316	851
930	11339	840
931	11364	829
932	11387	817
933	11408	806
934	11430	794
935	11451	783
936	11476	771
937	11502	760
938	11522	748
939	11542	736
940	11561	724
941	11581	713
942	11602	701
943	11625	689
944	11648	677
945	11671	666
946	11693	654
947	11714	642
948	11733	630
949	11757	618
950	11781	607
951	11804	595
952	11826	583
953	11847	571
954	11867	559
955	11889	547
956	11911	535
957	11932	523
958	11956	511
959	11979	499
960	12002	487
961	12027	475
962	12048	462
963	12067	450
964	12082	438
965	12097	425
966	12113	413
967	12128	400
968	12143	388
969	12160	376
970	12175	363
971	12190	351
972	12206	338
973	12221	326
974	12236	313
975	12251	301
976	12266	288
977	12281	276
978	12297	263
979	12312	251
980	12328	238
981	12343	226
982	12357	213
983	12372	201
984	12387	188
985	12402	176
986	12416	163
987	12431	150
988	12446	138
989	12461	125
990	12477	113
991	12492	100
992	12507	88
993	12520	75
994	12532	62
995	12543	50
996	12557	37
997	12570	25
998	12582	12
999	12595	0
