iter	Passed	Remaining
0	164	164334
1	175	87459
2	186	62141
3	197	49071
4	211	42187
5	225	37323
6	236	33534
7	247	30648
8	260	28660
9	271	26874
10	282	25418
11	293	24125
12	308	23427
13	321	22635
14	333	21915
15	344	21199
16	358	20722
17	372	20332
18	391	20198
19	416	20396
20	431	20102
21	445	19818
22	463	19676
23	479	19494
24	493	19245
25	510	19137
26	521	18800
27	535	18580
28	550	18433
29	569	18424
30	582	18218
31	596	18048
32	609	17851
33	621	17661
34	635	17517
35	648	17361
36	660	17199
37	671	16990
38	682	16814
39	694	16678
40	708	16566
41	721	16453
42	734	16350
43	747	16248
44	762	16191
45	776	16106
46	787	15963
47	800	15885
48	814	15804
49	832	15820
50	845	15735
51	857	15630
52	867	15503
53	878	15392
54	891	15316
55	905	15262
56	919	15204
57	932	15143
58	946	15098
59	958	15010
60	971	14960
61	982	14857
62	995	14811
63	1007	14737
64	1021	14690
65	1033	14630
66	1046	14577
67	1058	14502
68	1069	14436
69	1080	14348
70	1093	14306
71	1105	14250
72	1118	14198
73	1130	14146
74	1141	14081
75	1153	14027
76	1165	13967
77	1175	13894
78	1188	13851
79	1200	13805
80	1210	13735
81	1225	13723
82	1240	13701
83	1252	13659
84	1264	13609
85	1279	13599
86	1292	13566
87	1303	13509
88	1315	13467
89	1326	13408
90	1342	13410
91	1356	13385
92	1369	13353
93	1381	13312
94	1395	13289
95	1405	13235
96	1417	13193
97	1430	13169
98	1444	13145
99	1455	13100
100	1466	13054
101	1479	13024
102	1489	12972
103	1500	12927
104	1513	12897
105	1524	12853
106	1534	12809
107	1547	12779
108	1560	12752
109	1571	12711
110	1582	12675
111	1594	12639
112	1604	12593
113	1617	12574
114	1630	12545
115	1642	12517
116	1655	12494
117	1666	12455
118	1678	12424
119	1689	12392
120	1700	12351
121	1711	12319
122	1724	12292
123	1734	12255
124	1745	12219
125	1760	12210
126	1774	12197
127	1785	12165
128	1796	12126
129	1807	12095
130	1815	12040
131	1826	12012
132	1838	11985
133	1848	11948
134	1861	11928
135	1876	11919
136	1887	11889
137	1897	11850
138	1907	11817
139	1919	11794
140	1930	11760
141	1941	11728
142	1953	11705
143	1963	11672
144	1976	11654
145	1989	11639
146	2001	11615
147	2011	11581
148	2022	11554
149	2038	11549
150	2050	11528
151	2060	11495
152	2073	11479
153	2087	11470
154	2100	11452
155	2110	11420
156	2122	11394
157	2132	11362
158	2141	11329
159	2152	11302
160	2164	11279
161	2177	11264
162	2190	11246
163	2201	11223
164	2211	11192
165	2222	11164
166	2233	11139
167	2244	11118
168	2255	11088
169	2267	11070
170	2278	11048
171	2291	11029
172	2303	11013
173	2315	10993
174	2327	10970
175	2337	10942
176	2348	10918
177	2359	10898
178	2370	10871
179	2382	10855
180	2396	10845
181	2408	10824
182	2418	10797
183	2429	10773
184	2441	10756
185	2453	10737
186	2464	10715
187	2475	10694
188	2487	10672
189	2500	10657
190	2512	10642
191	2524	10624
192	2535	10602
193	2546	10577
194	2558	10563
195	2571	10547
